lat,lon,minutes_remaining,period,playoffs,shot_distance,prediction,proba,timestamp
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-24 20:36:47
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-24 20:36:50
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-25 20:52:09
33.69,-118.29,5,2,0,18,1.0,1.0,2025-03-25 20:52:14
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-26 22:52:01
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-26 22:59:05
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-26 23:00:46
33.68,-118.35,5,2,0,18,1.0,1.0,2025-03-26 23:00:51
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-28 19:27:43
33.69,-118.32,5,2,0,18,0.0,0.0,2025-03-28 19:27:47
33.59,-118.32,5,2,0,18,0.0,0.0,2025-03-28 19:27:50
33.59,-118.41,5,2,0,18,1.0,1.0,2025-03-28 19:27:54
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-28 19:33:50
33.57,-118.4,5,2,0,18,1.0,1.0,2025-03-28 19:33:55
33.57,-118.35,5,2,0,18,1.0,1.0,2025-03-28 19:33:58
33.57,-118.24,5,2,0,18,0.0,0.0,2025-03-28 19:34:01
33.57,-118.34,5,3,0,18,1.0,1.0,2025-03-28 19:34:06
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-28 19:51:17
33.63,-118.37,5,2,0,18,0.0,0.0,2025-03-28 20:37:46
33.63,-118.42,5,2,0,18,1.0,1.0,2025-03-28 20:37:49
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-28 20:55:15
33.58,-118.42,5,2,0,18,1.0,1.0,2025-03-28 20:55:20
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-28 21:10:01
33.93,-118.05,5,2,0,18,0.0,0.0,2025-03-28 21:10:07
